Time,Voltage
139.11875462532043,19.529999999999998
140.14425659179688,19.66
141.18680500984192,19.8
142.22727370262146,19.93
143.26753878593445,20.060000000000002
144.29825139045715,20.2
145.33360767364502,20.330000000000002
146.3748073577881,20.459999999999997
147.4163122177124,20.59
148.45493173599243,20.729999999999997
149.49574494361877,20.86
150.53737616539001,20.990000000000002
151.5634548664093,21.12
152.60653829574585,21.25
153.63628458976746,21.38
154.67417240142822,21.52
155.73511576652527,21.65
156.75231099128723,21.78
157.8027114868164,21.91
158.8288607597351,22.04
159.8734951019287,22.169999999999998
160.92529559135437,22.3
161.9484965801239,22.43
162.98540329933167,22.56
164.02810645103455,22.689999999999998
165.06480646133423,22.82
166.0927767753601,22.950000000000003
167.13371205329895,23.08
168.1712827682495,23.21
169.20398592948914,23.34
170.25992918014526,23.470000000000002
171.28282356262207,23.599999999999998
172.3263111114502,23.73
173.3631980419159,23.86
174.3980588912964,23.990000000000002
175.43808007240295,24.119999999999997
176.47697472572327,24.240000000000002
177.52654504776,24.37
178.543363571167,24.5
179.58978843688965,24.63
180.6263988018036,24.76
181.67530488967896,24.88
182.69840121269226,25.01
183.73449277877808,25.14
184.7782850265503,25.27
185.80864715576172,25.39
186.8539879322052,25.52
187.88162636756897,25.65
188.93455266952515,25.77
189.9583179950714,25.9
191.00335836410522,26.03
192.03449010849,26.15
193.0724470615387,26.28
194.10255527496338,26.41
195.14783024787903,26.53
196.19645762443542,26.66
197.22964096069336,26.790000000000003
198.27607131004333,26.91
199.31902718544006,27.040000000000003
200.34943199157715,27.16
201.38616466522217,27.29
202.4250626564026,27.41
203.4645414352417,27.54
204.51827669143677,27.66
205.54228353500366,27.79
206.5723683834076,27.91
207.61505818367004,28.04
208.64244723320007,28.16
209.68424534797668,28.28
210.7228753566742,28.41
211.74275541305542,28.53
212.79246401786804,28.65
213.8246579170227,28.78
214.86779379844666,28.9
215.905592918396,29.03
216.9440574645996,29.15
217.99326705932617,29.27
219.01294898986816,29.39
220.0561158657074,29.52
221.09311652183533,29.64
222.12242650985718,29.76
223.16094875335693,29.89
224.20673394203186,30.009999999999998
225.24223637580872,30.13
226.2753551006317,30.25
227.32380437850952,30.37
228.35778403282166,30.5
229.3927776813507,30.62
230.43696308135986,30.74
231.47428822517395,30.86
232.5039496421814,30.98
233.55227708816528,31.099999999999998
234.58252239227295,31.220000000000002
235.620600938797,31.35
236.6638262271881,31.47
237.7014446258545,31.59
238.74360585212708,31.71
239.781254529953,31.83
240.83454203605652,31.95
241.8619360923767,32.07
242.9006130695343,32.190000000000005
243.9387800693512,32.309999999999995
244.97266054153442,32.43
246.01161909103394,32.550000000000004
247.04463863372803,32.669999999999995
248.08531713485718,32.79
249.12311339378357,32.910000000000004
250.1744303703308,33.029999999999994
251.19430875778198,33.15
252.23186135292053,33.27
253.2758083343506,33.39
254.30563187599182,33.5
255.34351634979248,33.62
256.38811111450195,33.74
257.4258670806885,33.86
258.466411113739,33.980000000000004
259.49223256111145,34.1
260.5388424396515,34.21
261.5724678039551,34.33
262.6012465953827,34.45
263.6584734916687,34.56999999999999
264.6867661476135,34.68
265.72232127189636,34.8
266.7598373889923,34.92
267.80448389053345,35.04
268.82757472991943,35.15
269.87515234947205,35.27
270.89329838752747,35.39
271.9412450790405,35.5
272.9824833869934,35.62
274.0288646221161,35.74
275.0716230869293,35.85
276.1027612686157,35.97
277.1421003341675,36.089999999999996
278.17697930336,36.2
279.21846055984497,36.32
280.2550377845764,36.43
281.29193568229675,36.55
282.32844614982605,36.67
283.36670780181885,36.78
284.4050221443176,36.900000000000006
285.4419331550598,37.01
286.4707074165344,37.13
287.5125467777252,37.24
288.5529808998108,37.36
289.5963280200958,37.470000000000006
290.6214380264282,37.580000000000005
291.66471004486084,37.699999999999996
292.6987142562866,37.81
293.7459909915924,37.93
294.7723195552826,38.04
295.8092393875122,38.16
296.8585693836212,38.269999999999996
297.883198261261,38.379999999999995
298.92628240585327,38.5
299.9613199234009,38.61
301.0074441432953,38.72
302.0583016872406,38.839999999999996
303.0920145511627,38.949999999999996
304.1215589046478,39.07
305.1714732646942,39.18
306.20931577682495,39.29
307.25199270248413,39.4
308.2804789543152,39.519999999999996
309.3217957019806,39.629999999999995
310.35132813453674,39.739999999999995
311.39258790016174,39.86
312.43207263946533,39.97
313.46147418022156,40.08
314.5159752368927,40.19
315.5531988143921,40.309999999999995
316.5812711715698,40.419999999999995
317.6302764415741,40.529999999999994
318.6556990146637,40.64
319.6921248435974,40.75
320.7292904853821,40.86
321.7641360759735,40.97
322.80253076553345,41.09
323.83138847351074,41.2
324.8772692680359,41.31
325.9142322540283,41.42
326.9535028934479,41.529999999999994
328.0013928413391,41.64
329.0267598628998,41.75
330.0657913684845,41.86
331.1031320095062,41.97
332.1469519138336,42.08
333.1928162574768,42.19
334.21862268447876,42.3
335.25539898872375,42.410000000000004
336.2922875881195,42.52
337.3343925476074,42.63
338.36293029785156,42.74
339.4016454219818,42.85
340.44137477874756,42.96
341.47317576408386,43.07
342.52247428894043,43.18
343.5606482028961,43.29
344.5945394039154,43.4
345.63485407829285,43.51
346.6741282939911,43.61
347.7020537853241,43.72
348.74518299102783,43.83
349.78173899650574,43.94
350.82732796669006,44.05
